2025-08-26 21:47:40,304 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp9a0yem3o | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 21:47:40,304 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp9a0yem3o/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 21:47:40,312 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 21:47:46,552 | INFO     | process_images:87 | Request unknown: Processing completed in 6.240s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 21:47:46,553 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 21:47:46,553 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 22:16:11,885 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 22:16:11,887 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 22:16:11,888 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp68lb2e1n | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 22:16:11,888 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp68lb2e1n/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 22:16:11,896 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 22:16:17,534 | INFO     | process_images:87 | Request unknown: Processing completed in 5.638s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 22:16:17,536 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 22:16:17,536 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 22:28:54,018 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 22:28:54,020 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 22:28:54,022 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphd4prrba | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 22:28:54,022 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphd4prrba/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 22:28:54,028 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 22:28:58,045 | INFO     | process_images:87 | Request unknown: Processing completed in 4.016s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 22:28:58,045 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 22:28:58,045 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 22:39:43,604 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 22:39:43,604 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 22:39:43,605 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpe7dcch0f | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 22:39:43,606 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpe7dcch0f/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 22:39:43,614 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 22:39:48,019 | INFO     | process_images:87 | Request unknown: Processing completed in 4.405s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 22:39:48,020 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 22:39:48,020 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 23:10:30,180 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 23:10:30,183 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 23:10:30,184 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpt413qlce | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 23:10:30,184 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpt413qlce/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 23:10:30,192 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 23:10:36,546 | INFO     | process_images:87 | Request unknown: Processing completed in 6.354s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 23:10:36,548 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 23:10:36,548 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 23:49:45,864 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 23:49:45,867 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 23:49:45,868 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp44fkpxdg | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 23:49:45,868 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp44fkpxdg/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 23:49:45,880 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
